      T  ,      Cp   ,    H-H298,       S   ,  -(G-H298)/T,     H   ,    delta Hf,    log K
    deg-K,   J/mol-K ,    kJ/mol,    J/mol-K,    J/mol-K  ,   kJ/mol,     kJ/mol ,    none
     273.15,  76.174 ,    -1.887,     63.332,     70.240  , -287.717,   -286.632 ,   46.1343
     278.15,  75.623 ,    -1.508,     64.708,     70.128  , -287.338,   -286.469 ,   45.1493
     283.15,  75.397 ,    -1.130,     66.053,     70.045  , -286.960,   -286.308 ,   44.1996
     288.15,  75.333 ,    -0.753,     67.372,     69.987  , -286.583,   -286.149 ,   43.2834
     293.15,  75.335 ,    -0.377,     68.668,     69.953  , -286.207,   -285.989 ,   42.3989
     298.15,  75.351 ,     0.000,     69.942,     69.942  , -285.830,   -285.830 ,   41.5446
     300 ,    75.355 ,     0.139,     70.408,     69.944  , -285.691,   -285.771 ,   41.2358
     310 ,    75.345 ,     0.893,     72.879,     69.999  , -284.937,   -285.454 ,   39.6317
     320 ,    75.316 ,     1.646,     75.271,     70.127  , -284.184,   -285.137 ,   38.1294
     330 ,    75.332 ,     2.399,     77.588,     70.318  , -283.431,   -284.821 ,   36.7198
     340 ,    75.414 ,     3.153,     79.838,     70.565  , -282.677,   -284.506 ,   35.3946
     350 ,    75.534 ,     3.908,     82.026,     70.861  , -281.922,   -284.190 ,   34.1465
     360 ,    75.668 ,     4.664,     84.156,     71.201  , -281.166,   -283.874 ,   32.9690
     370 ,    75.868 ,     5.421,     86.231,     71.579  , -280.409,   -283.557 ,   31.8565
     380 ,    76.020 ,     6.181,     88.257,     71.991  , -279.649,   -283.238 ,   30.8036
     390 ,    76.359 ,     6.943,     90.236,     72.434  , -278.887,   -282.918 ,   29.8059
     400 ,    76.799 ,     7.709,     92.174,     72.903  , -278.121,   -282.594 ,   28.8591
     410 ,    77.231 ,     8.479,     94.076,     73.396  , -277.351,   -282.267 ,   27.9596
     420 ,    77.636 ,     9.253,     95.942,     73.911  , -276.577,   -281.936 ,   27.1039
     430 ,    78.040 ,    10.031,     97.774,     74.445  , -275.799,   -281.601 ,   26.2889
     440 ,    78.491 ,    10.814,     99.573,     74.995  , -275.016,   -281.263 ,   25.5120
     450 ,    79.033 ,    11.602,    101.343,     75.561  , -274.228,   -280.921 ,   24.7704
     460 ,    79.701 ,    12.395,    103.087,     76.141  , -273.435,   -280.573 ,   24.0620
     470 ,    80.516 ,    13.196,    104.809,     76.732  , -272.634,   -280.218 ,   23.3846
     480 ,    81.487 ,    14.006,    106.514,     77.335  , -271.824,   -279.854 ,   22.7362
     490 ,    82.615 ,    14.826,    108.206,     77.948  , -271.004,   -279.481 ,   22.1151
     500 ,    83.901 ,    15.659,    109.888,     78.570  , -270.171,   -279.097 ,   21.5197
     510 ,    85.356 ,    16.505,    111.563,     79.200  , -269.325,   -278.699 ,   20.9484
     520 ,    87.007 ,    17.367,    113.236,     79.839  , -268.463,   -278.286 ,   20.3999
     530 ,    88.911 ,    18.246,    114.911,     80.485  , -267.584,   -277.856 ,   19.8728
     540 ,    91.166 ,    19.146,    116.593,     81.138  , -266.684,   -277.406 ,   19.3661
     550 ,    93.921 ,    20.071,    118.290,     81.798  , -265.759,   -276.931 ,   18.8787
     560 ,    97.388 ,    21.027,    120.013,     82.465  , -264.803,   -276.427 ,   18.4095
     570 ,   101.852 ,    22.022,    121.774,     83.139  , -263.808,   -275.883 ,   17.9576
     580 ,   107.683 ,    23.068,    123.594,     83.821  , -262.762,   -275.289 ,   17.5221
     590 ,   115.345 ,    24.182,    125.497,     84.511  , -261.648,   -274.628 ,   17.1024
     600 ,   125.409 ,    25.383,    127.516,     85.211  , -260.447,   -273.880 ,   16.6977
